time,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z,cmd_x,cmd_y,cmd_z,vel_mag
0.0,0.0630245139581012,0.2759307061059485,0.24187396658445182,0.0630245139581012,0.2759307061059485,0.24187396658445182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020035546,0.06302456383082626,0.2759307559772509,0.24187396658445182,0.0630245139581012,0.2759307061059485,0.24187396658445182,4.987272506085105e-08,4.98713024210673e-08,0.0,0.0,0.0,0.0,0.0
0.039888683,0.0630249074621355,0.2759310995654918,0.24187396658445182,0.0630245139581012,0.2759307061059485,0.24187396658445182,3.935040343017171e-07,3.934595432797394e-07,0.0,0.0,0.0,0.0,0.0
0.060407229,0.06302588031448304,0.27593207210804327,0.24187396658445182,0.0630245139581012,0.2759307061059485,0.24187396658445182,1.3663563818433477e-06,1.3660020947714457e-06,0.0,0.0,0.0,0.0,0.0
0.080479132,0.06302774398220558,0.27593393464353116,0.24187396658445182,0.0630245139581012,0.2759307061059485,0.24187396658445182,3.2300241043781153e-06,3.228537582666835e-06,0.0,0.0,0.0,0.0,0.0
0.10060971,0.06303082198298586,0.27593700959399414,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,6.83432105430537e-06,6.183278827065486e-06,0.0,0.0,0.0,0.0,0.0
0.120616575,0.06303537755006858,0.27594155846881874,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,1.1389888137022797e-05,1.0732153651660248e-05,0.0,0.0,0.0,0.0,0.0
0.140634019,0.06304172321865775,0.2759478911855474,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,1.7735556726197754e-05,1.706487038033444e-05,0.0,0.0,0.0,0.0,0.0
0.16013043,0.06304990143256074,0.2759560473351096,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,2.591377062918787e-05,2.5221019942511802e-05,0.0,0.0,0.0,0.0,0.0
0.180032841,0.06306056473239402,0.27596667387919077,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,3.6577070462465167e-05,3.584756402369438e-05,0.0,0.0,0.0,0.0,0.0
0.199894298,0.06307381808547664,0.2759798703033365,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,4.98304235450886e-05,4.904398816940603e-05,0.0,0.0,0.0,0.0,0.0
0.219968953,0.06309015034904308,0.275996116942743,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,6.616268711152895e-05,6.529062757593129e-05,0.0,0.0,0.0,0.0,0.0
0.240048923,0.06310972537432644,0.2760155688372759,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,8.57377123948816e-05,8.474252210882716e-05,0.0,0.0,0.0,0.0,0.0
0.260099688,0.06313278599423108,0.2760384580500372,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.0001087983322995284,0.00010763173487010613,0.0,0.0,0.0,0.0,0.0
0.280182056,0.06315968226438402,0.2760651210845417,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00013569460245246856,0.00013429476937459883,0.0,0.0,0.0,0.0,0.0
0.300010972,0.06319023955348543,0.2760953728546006,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00016625189155387854,0.00016454653943354103,0.0,0.0,0.0,0.0,0.0
0.320142502,0.06322560061965389,0.27613033000122317,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00020161295772233578,0.0001995036860560906,0.0,0.0,0.0,0.0,0.0
0.340252477,0.06326555569758886,0.27616976754299444,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.000241568035657308,0.0002389412278273606,0.0,0.0,0.0,0.0,0.0
0.360128448,0.06330985454572075,0.27621342100347246,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00028586688378919034,0.00028259468830538204,0.0,0.0,0.0,0.0,0.0
0.380080951,0.06335938671510852,0.276262147069898,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00033539905317696295,0.0003313207547309127,0.0,0.0,0.0,0.0,0.0
0.399969601,0.06341405676170822,0.2763158289489995,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00039006909977666593,0.00038500263383239863,0.0,0.0,0.0,0.0,0.0
0.420052907,0.0634748750833328,0.2763754322381765,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.00045088742140124427,0.00044460592300943347,0.0,0.0,0.0,0.0,0.0
0.439956082,0.06354095274177508,0.27644005770221786,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.0005169650798435288,0.0005092313870507792,0.0,0.0,0.0,0.0,0.0
0.459921586,0.06361327811321152,0.2765106424524831,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.000589290451279964,0.0005798161373160027,0.0,0.0,0.0,0.0,0.0
0.480152468,0.06369297106424944,0.2765882418209868,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.0006689834023178853,0.000657415505819714,0.0,0.0,0.0,0.0,0.0
0.50019869,0.06377852491566417,0.2766713508713392,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.0007545372537326178,0.0007405245561721285,0.0,0.0,0.0,0.0,0.0
0.520099942,0.06387016519153638,0.2767601539699085,0.24187396658445182,0.06302398766193155,0.2759308263151671,0.24187396658445182,0.0008461775296048218,0.0008293276547414186,0.0,0.0,0.0,0.0,0.0
