time,time_abs,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,qd_des1,qd_des2,qd_des3,qd_des4,qd_des5,qd_des6,qdd_des1,qdd_des2,qdd_des3,qdd_des4,qdd_des5,qdd_des6,px,py,pz,px_des,py_des,pz_des,cmd_x,cmd_y,cmd_z,sat1,sat2,sat3,sat4,sat5,sat6,pert_enabled
0.020340393,1772664950.714383,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,0.001426693401299417,3.695456518104743e-15,0.0,0.0,0.0,0.0,0.0,0.0,-6.680893620708526,-6.680893620708526,-1.0086718294861852,-0.30555170161392037,-60.1692898887514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00012422753049070375,0.00023696566741181725,0.00032661590615606386,False,False,False,False,False,False,0
0.040381618,1772664950.734424,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,0.001426693401299417,3.695456518104743e-15,-0.13361787241417053,-0.13361787241417053,-0.020173436589723703,-0.006111034032278408,-1.203385797775028,0.0,-2.3185965656792447,-2.3185965656792447,-1.2993600046890426,-0.20011202101705494,-22.863360796556403,0.0,218.114852751464,218.114852751464,-14.534408760142869,5.271984029843272,1865.29645460975,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00012422753049070375,0.00023696566741181725,0.00032661590615606386,False,False,False,False,False,False,0
0.060378164,1772664950.7544208,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,0.001426693401299417,3.695456518104743e-15,-0.17998980372775542,-0.17998980372775542,-0.046160636683504556,-0.010113274452619506,-1.6606530137061561,0.0,-1.1596716860585714,-1.1596716860585714,-1.0984130438399204,-0.1936923448323109,-18.06352728852518,0.0,57.94624398103366,57.94624398103366,10.047348042456106,0.32098380923720193,239.9916754015612,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00012422753049070375,0.00023696566741181725,0.00032661590615606386,False,False,False,False,False,False,0
0.080373332,1772664950.774416,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,0.001426693401299417,3.695456518104743e-15,-0.20318323744892683,-0.20318323744892683,-0.061087,-0.013987121349265724,-2.02192355947666,0.0,-0.3590766275784502,-0.3590766275784502,-0.8259155278102894,-0.43237387843608693,-16.28475713266305,0.0,40.02975292400606,40.02975292400606,13.624875801481553,-11.934076680188804,88.93850779310651,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00012422753049070375,0.00023696566741181725,0.00032661590615606386,False,False,False,False,False,False,0
0.100160695,1772664950.794203,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.21036477000049583,-0.21036477000049583,-0.061087,-0.022634598917987463,-2.1642,0.0,-0.925392864728878,-0.925392864728878,-0.7458231039710251,-1.056055476278468,-7.679477162205398,0.0,-28.315811857521382,-28.315811857521382,4.0046211919632135,-31.184079892119048,430.2639985228825,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,False,False,False,False,False,False,0
0.12036407,1772664950.8144066,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.2288726272950734,-0.2288726272950734,-0.061087,-0.04375570844355683,-2.1642,0.0,-0.7836879522119514,-0.7836879522119514,-0.6130816791269541,-1.7561894184831484,-6.836519905807148,0.0,7.08524562584633,7.08524562584633,6.63707124220355,-35.006697110234015,42.14786281991247,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,False,False,False,False,False,False,0
0.140415164,1772664950.8344576,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.24454638633931242,-0.24454638633931242,-0.061087,-0.07887949681321978,-2.1642,0.0,-0.6614828222932347,-0.6614828222932347,-0.40520410925987416,-2.8233561277599795,-6.178019625302935,0.0,6.110256495935837,6.110256495935837,10.393878493354002,-53.358335463841584,32.9250140252107,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,False,False,False,False,False,False,0
0.160345048,1772664950.8543875,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.25777604278517713,-0.25777604278517713,-0.061087,-0.1353466193684194,-2.1642,0.0,-0.5697241274611076,-0.5697241274611076,-0.10545294884039143,-4.338972365192567,-5.613739284727913,0.0,4.587934741606355,4.587934741606355,14.987558020974124,-75.78081187162931,28.214017028751055,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,False,False,False,False,False,False,0
0.180234792,1772664950.8742774,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.2691705253343993,-0.2691705253343993,-0.061087,-0.2221260666722707,-2.1642,0.0,-0.521970977379929,-0.521970977379929,0.25956579654498924,-6.148304969650253,-5.035595460177014,0.0,2.387657504058928,2.387657504058928,18.25093726926904,-90.46663022288435,28.907191227544985,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,False,False,False,False,False,False,0
0.200257705,1772664950.8943002,0.003459126688539982,0.21510054171085358,1.0996417999267578,-0.022434469312429428,0.7874434590339661,-0.22453643381595612,3.616898447411643e-16,3.1522403129869304e-15,-2.854859168365003e-16,5.491639116547546e-16,2.90244013244627e-15,3.695456518104743e-15,-0.27960994488199786,-0.27960994488199786,-0.05589568406910022,-0.3450921660652757,-2.1642,0.0,-0.5195561174624405,-0.5195561174624405,0.5405600687267968,-7.590819927522937,-4.374241492522101,0.0,0.12074299587442888,0.12074299587442888,14.049713609090388,-72.12574789363426,33.067698382745654,0.0,0.28001113869937455,-2.204016370463077e-05,0.29996900076564137,0.28,0.0,0.3,-0.00011138699374496135,0.00022040163704624465,0.00030999234358622716,True,True,True,False,True,False,0
