time,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z,cmd_x,cmd_y,cmd_z,vel_mag
0.0,0.22022243379703804,0.2315677719150564,0.317270685679924,0.22022243379703804,0.2315677719150564,0.317270685679924,0.0,0.0,0.0,3.0000000000000004e-05,3.0000000000000004e-05,0.0,4.2426406871192855e-05
0.020075656,0.2206765301024361,0.2320218552152367,0.317270685679924,0.22022243379703804,0.2315677719150564,0.317270685679924,0.0004540963053980551,0.0004540833001802913,0.0,0.00011400000000000002,0.00011400000000000002,0.0,0.00016122034611053287
0.03989707,0.22112485023347928,0.23247008627798585,0.317270685679924,0.22022243379703804,0.2315677719150564,0.317270685679924,0.0009024164364412335,0.0009023143629294517,0.0,0.0002709000000000001,0.0002709000000000001,0.0,0.0003831104540468716
0.059916298,0.22157759328505308,0.2329225857072494,0.317270685679924,0.22022243379703804,0.2315677719150564,0.317270685679924,0.0013551594880150397,0.001354813792193016,0.0,0.0005152800000000001,0.0005152800000000001,0.0,0.0007287159644196085
0.079855507,0.22202844998325305,0.2333729697668438,0.317270685679924,0.22022243379703804,0.2315677719150564,0.317270685679924,0.0018060161862150093,0.001805197851787399,0.0,0.0008580750000000002,0.0008580750000000002,0.0,0.0012135013025332938
0.099851984,0.2224804990895482,0.23382423753590958,0.317270685679924,0.22022321965814584,0.23156771609251398,0.3172699343666729,0.002257279431402359,0.0022565214433956093,7.513132511127729e-07,0.0013071582000000004,0.0013071582000000004,0.0,0.0018486008546072033
0.119727314,0.22292968238621072,0.23427226327340883,0.317270685679924,0.22022321965814584,0.23156771609251398,0.3172699343666729,0.002706462728064879,0.0027045471808948562,7.513132511127729e-07,0.0018678440100000004,0.0018678440100000004,0.0,0.0026415303313393475
0.13973212,0.2233816383115264,0.23472259413011332,0.317270685679924,0.22022321965814584,0.23156771609251398,0.3172699343666729,0.003158418653380568,0.00315487803759934,7.513132511127729e-07,0.0025433210760000004,0.0025433210760000004,0.0,0.0035967991591485337
0.159716655,0.2238329568658072,0.23517175206451468,0.317270685679924,0.22022321965814584,0.23156771609251398,0.3172699343666729,0.003609737207661362,0.0036040359720007076,7.513132511127729e-07,0.0033350242887000003,0.0033350242887000003,0.0,0.004716436579923225
0.179710468,0.22428427986601093,0.23562029969170487,0.317270685679924,0.22022321965814584,0.23156771609251398,0.3172699343666729,0.0040610602078650915,0.00405258359919089,7.513132511127729e-07,0.0042334821068173685,0.004231660037943039,0.0,0.005985759552927841
0.199969441,0.22474135286396735,0.23607385620342272,0.317270685679924,0.22022356383783231,0.23156808030992343,0.3172691830510742,0.004517789026135033,0.004505775893499292,1.5026288497921314e-06,0.00522332357286334,0.005217741895076995,0.0,0.007382949250162263
0.219881374,0.2251903394081729,0.2365186193040058,0.317270685679924,0.22022356383783231,0.23156808030992343,0.3172691830510742,0.004966775570340587,0.004950538994082376,1.5026288497921314e-06,0.006290858644893416,0.006279452650658677,0.0,0.008888556017818334
0.239789955,0.22563897050446963,0.2369621919323688,0.317270685679924,0.22022356383783231,0.23156808030992343,0.3172691830510742,0.005415406666637312,0.00539411162244538,1.5026288497921314e-06,0.007424106989156375,0.0074046664580619485,0.0,0.010485535272058751
0.259886132,0.22609151947308262,0.23740871128070495,0.317270685679924,0.22022356383783231,0.23156808030992343,0.3172691830510742,0.005867955635250305,0.005840630970781524,1.5026288497921314e-06,0.008612718253593438,0.008582865496277903,0.0,0.01215913219942029
0.279940854,0.2265427991032088,0.2378529727683174,0.317270685679924,0.22022356383783231,0.23156808030992343,0.3172691830510742,0.006319235265376477,0.006284892458393976,1.5026288497921314e-06,0.009847628998794088,0.009804807337368257,0.0,0.013896403988831092
0.299714379,0.2269873975301247,0.2382895985643108,0.317270685679924,0.2202241549068439,0.23156781835450996,0.3172696602982965,0.006763242623280791,0.006721780209800854,1.0253816274952143e-06,0.0111207468849273,0.011062248577620469,0.0,0.01568580105929201
0.320224038,0.22744815008937275,0.23874089937814147,0.317270685679924,0.2202241549068439,0.23156781835450996,0.3172696602982965,0.007223995182528836,0.007173081023631511,1.0253816274952143e-06,0.012425520285358203,0.012348411597727054,0.0,0.01751790008387787
0.340322467,0.22789924541449663,0.23918148800739686,0.317270685679924,0.2202241549068439,0.23156781835450996,0.3172696602982965,0.007675090507652721,0.007613669652886901,1.0253816274952143e-06,0.013755985483177056,0.013657120810361304,0.0,0.019384119413638105
0.360285257,0.22834686020269265,0.23961737272800096,0.317270685679924,0.2202241549068439,0.23156781835450996,0.3172696602982965,0.008122705295848742,0.008049554373491002,1.0253816274952143e-06,0.015106889975046986,0.014982913732590608,0.0,0.021276884843332386
0.380289702,0.22879494739369519,0.24005233759392697,0.317270685679924,0.2202241549068439,0.23156781835450996,0.3172696602982965,0.008570792486851275,0.00848451923941701,1.0253816274952143e-06,0.01647372305863875,0.016321063077509117,0.0,0.023189666909913937
0.400488552,0.2292468943700966,0.24048957076119212,0.317270685679924,0.22022470703044197,0.23156748744833733,0.3172690507777288,0.009022187339654625,0.008922083312854795,1.6349021951800324e-06,0.0178526992042149,0.01766758027801582,0.0,0.02511697158807783
0.419878748,0.22968025585777457,0.2409073540427405,0.317270685679924,0.22022470703044197,0.23156748744833733,0.3172690507777288,0.0094555488273326,0.009339866594403168,1.6349021951800324e-06,0.01924008201772804,0.019018541543761838,0.0,0.027053385712341012
