time,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z,cmd_x,cmd_y,cmd_z,vel_mag
0.0,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020127935,0.003972071179798469,0.23367461695260752,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,5.05658172634052e-08,5.056436150341348e-08,0.0,0.0,0.0,0.0,0.0
0.040300044,0.003972426416752987,0.23367497214418503,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,4.0580277178153823e-07,4.0575593901470697e-07,0.0,0.0,0.0,0.0,0.0
0.060136861,0.003973368710978698,0.23367591413881286,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,1.3480969974924775e-06,1.347750566843553e-06,0.0,0.0,0.0,0.0,0.0
0.080840073,0.003975294270371857,0.2336778385244913,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,3.2736563906508517e-06,3.272136245291435e-06,0.0,0.0,0.0,0.0,0.0
0.101248696,0.003978449497764218,0.2336809905893546,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,6.428883783012214e-06,6.424201108579108e-06,0.0,0.0,0.0,0.0,0.0
0.120725814,0.003982913716172261,0.2336854482104361,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,1.0893102191054764e-05,1.0881822190084156e-05,0.0,0.0,0.0,0.0,0.0
0.140795287,0.00398928905490424,0.23369181050938911,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,1.7268440923034166e-05,1.7244121143095148e-05,0.0,0.0,0.0,0.0,0.0
0.160870364,0.003997760946223861,0.23370025939824113,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,2.5740332242655053e-05,2.569300999510915e-05,0.0,0.0,0.0,0.0,0.0
0.180157842,0.004008146345835395,0.23371060883097758,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,3.612573185418893e-05,3.6042442731559765e-05,0.0,0.0,0.0,0.0,0.0
0.200122718,0.004021493434109237,0.2337238984786976,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,4.947282012803152e-05,4.933209045157594e-05,0.0,0.0,0.0,0.0,0.0
0.220107417,0.004037780570034816,0.2337401000811105,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,6.575995605360985e-05,6.553369286449451e-05,0.0,0.0,0.0,0.0,0.0
0.240128545,0.004057316474223435,0.23375951298662515,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,8.5295860242229e-05,8.494659837912644e-05,0.0,0.0,0.0,0.0,0.0
0.260266872,0.0040805004788398,0.2337825244931851,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.00010847986485859433,0.00010795810493907654,0.0,0.0,0.0,0.0,0.0
0.280157594,0.004107153733147959,0.23380894650721004,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0001351331191667528,0.00013438011896402258,0.0,0.0,0.0,0.0,0.0
0.300077964,0.004137856484683512,0.23383934223490954,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.00016583587070230586,0.00016477584666352296,0.0,0.0,0.0,0.0,0.0
0.320163162,0.004173145901999619,0.23387422844039693,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.00020112528801841285,0.00019966205215091182,0.0,0.0,0.0,0.0,0.0
0.34030128,0.004213165164049345,0.23391372922364218,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.00024114455006813904,0.00023916283539615613,0.0,0.0,0.0,0.0,0.0
0.360084827,0.004257258560860922,0.23395718022436107,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.00028523794687971595,0.0002826138361150532,0.0,0.0,0.0,0.0,0.0
0.380273907,0.0043073979696217676,0.23400650329507797,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0003353773556405617,0.00033193690683194776,0.0,0.0,0.0,0.0,0.0
0.40026893,0.004362427859935258,0.23406053724503387,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.000390407245954052,0.00038597085678784837,0.0,0.0,0.0,0.0,0.0
0.420245103,0.004422991807287334,0.23411988980131315,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0004509711933061277,0.0004453234130671335,0.0,0.0,0.0,0.0,0.0
0.440092413,0.004488932480004617,0.2341843801877803,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0005169118660234111,0.00050981379953427,0.0,0.0,0.0,0.0,0.0
0.460170663,0.00456172624160101,0.23425542053555143,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0005897056276198045,0.0005808541473054096,0.0,0.0,0.0,0.0,0.0
0.48012376,0.0046403599557083555,0.23433198756505255,0.15361220409527684,0.003972020613981206,0.23367456638824602,0.15361220409527684,0.0006683393417271496,0.000657421176806533,0.0,0.0,0.0,0.0,0.0
0.500138432,0.004725764351395035,0.23441495187996533,0.15361220409527684,0.00397471899042158,0.23367452075205034,0.15361220415155996,0.0007510453609734548,0.0007404311279149978,-5.6283117055855314e-11,0.0,0.0,0.0,0.0
0.520298958,0.004818622720866129,0.23450493452923615,0.15361220409527684,0.00397471899042158,0.23367452075205034,0.15361220415155996,0.0008439037304445486,0.0008304137771858178,-5.6283117055855314e-11,0.0,0.0,0.0,0.0
